"City","Month","Date","Minimum.Temperature","Maximum.Temperature","Rainfall.mm","Evaporation.mm","Sunshine.Hours","9am.Temperature","9am.Relative.Humidity","9am.Cloud.Amount.oktas","3pm.Temperature","3pm.Relative.Humidity","3pm.Cloud.Amount.oktas"
"Perth","Feb",2014-02-04,21.4,37.5,0,12,12.8,28,38,1,35.5,26,1
"Melbourne","Feb",2014-02-05,13.9,31.1,0,9.4,12.8,17.9,53,0,28.2,33,0
"Sydney","Feb",2014-02-05,17.5,24.5,3.2,5.2,3.1,20.6,59,6,22.7,46,7
"Adelaide","Feb",2014-02-05,17.8,34.3,0,8.2,12.8,24.3,37,NA,33.6,17,NA
"Brisbane","Feb",2014-02-05,20,29.9,0,7.2,9.1,26.4,53,3,28.6,46,6
"Perth","Feb",2014-02-05,21.7,32.3,0,12,12.7,27.2,48,3,29.7,51,2
"Melbourne","Feb",2014-02-06,17.4,35.6,0,10.4,11.9,22.9,37,6,33.4,21,3
"Sydney","Feb",2014-02-06,17.1,23.3,1.2,7.2,3.2,19.2,67,8,23.2,48,7
"Adelaide","Feb",2014-02-06,16.1,33.5,0,8,12.7,24.2,34,NA,31.6,27,NA
"Brisbane","Feb",2014-02-06,19.1,27.4,0.2,8.8,4.5,24.7,55,7,25.8,57,8
"Perth","Feb",2014-02-06,20.2,32.2,0,9.6,12.7,25.2,58,1,30.6,46,1
"Melbourne","Feb",2014-02-07,22.9,36.6,0,15.4,10.5,29,29,5,27.6,51,7
"Sydney","Feb",2014-02-07,15.5,25.4,0.2,4.2,12.3,19.6,63,1,25,52,1
"Adelaide","Feb",2014-02-07,17.9,36.7,0,7.4,12.7,24.6,27,NA,36.2,15,NA
"Brisbane","Feb",2014-02-07,19.6,28.6,0,8,2.9,24.5,60,7,25.5,58,7
"Perth","Feb",2014-02-07,19.5,30,0,10.8,12.7,23.8,55,0,26.8,50,0
"Melbourne","Feb",2014-02-08,18.6,41,0,12.6,12.5,22.6,68,NA,36.1,30,NA
"Sydney","Feb",2014-02-08,19.4,27.3,0,9.2,12.1,24.3,59,0,25.9,53,0
"Adelaide","Feb",2014-02-08,22.8,42.7,0,NA,8.3,35.4,13,NA,40.9,10,NA
"Brisbane","Feb",2014-02-08,19.9,29.2,0,6.4,10.7,25.8,56,6,27.6,55,3
"Perth","Feb",2014-02-08,15.1,29.3,0,10.6,12.8,20.2,54,1,25.5,45,0
"Melbourne","Feb",2014-02-09,22.2,40.4,0,18.4,11.8,32.2,15,NA,26.8,43,NA
"Sydney","Feb",2014-02-09,20.6,27.6,0,9.6,12.9,24.6,63,2,27.1,52,0
"Adelaide","Feb",2014-02-09,20.3,28.4,0,NA,12.7,20.4,63,NA,25.7,38,NA
"Brisbane","Feb",2014-02-09,21.8,29.1,0,8.6,3.9,26.8,59,7,26.4,66,7
"Perth","Feb",2014-02-09,15.5,33.1,0,10.4,12.6,20.8,46,0,32.2,21,1
"Melbourne","Feb",2014-02-10,15.9,24.9,0,13.8,12.7,19,53,2,24.7,43,1
"Sydney","Feb",2014-02-10,20.6,27.2,0,10.4,0.2,20.8,83,8,25.5,54,6
"Adelaide","Feb",2014-02-10,14.6,33.8,0,27.2,12.9,19.7,41,NA,31.5,21,NA
"Brisbane","Feb",2014-02-10,21.9,28.8,0,5,5.1,25.3,67,7,28.4,56,4
"Perth","Feb",2014-02-10,18.2,29.2,0,9.4,12.6,22.9,50,1,25.8,56,1
"Melbourne","Feb",2014-02-11,14.6,27,0,8.2,8.5,17.3,67,1,26.2,43,6
"Sydney","Feb",2014-02-11,20.1,27.7,0,7.2,4,22.4,72,8,25.9,60,2
"Adelaide","Feb",2014-02-11,19.5,42.5,0,8.2,12.2,29,21,NA,41.3,9,NA
"Brisbane","Feb",2014-02-11,19.5,29.2,0,7.2,10.7,25.5,59,6,28.2,51,6
"Perth","Feb",2014-02-11,17.6,33.3,0,10.4,12.5,23.4,51,2,32.8,34,1
"Melbourne","Feb",2014-02-12,17.1,27.2,0,6.4,5.3,19,80,7,25.2,60,7
"Sydney","Feb",2014-02-12,22.1,26.3,0.2,6,4.3,23.5,78,7,25.8,68,7
"Adelaide","Feb",2014-02-12,29,41.7,0,13.2,4.6,35.5,6,NA,41.1,10,NA
"Brisbane","Feb",2014-02-12,19.2,29.8,0,8,12.1,26.1,56,3,28.9,47,1
"Perth","Feb",2014-02-12,20.2,34.2,0,11.8,11.1,24.6,59,5,32.7,34,5
"Melbourne","Feb",2014-02-13,18.9,26.9,0,4.8,0,22.1,75,8,26.3,57,8
"Sydney","Feb",2014-02-13,21.5,27,3.4,4.6,7.5,25.1,66,4,25.6,64,8
"Adelaide","Feb",2014-02-13,24.7,26.6,0.8,9.6,0,25.3,54,NA,21.6,95,NA
"Brisbane","Feb",2014-02-13,19.7,30.8,0,7,11.2,26.8,63,1,28.9,53,1
